"","loan_amnt","term","int_rate","installment","emp_title","emp_length","home_ownership","annual_inc","verification_status","issue_d","loan_status","purpose","title","earliest_cr_line","open_acc","total_acc","application_type","mort_acc","address"
"109",12000," 36 months",7.69,374.33,"Maintenance","10+ years","MORTGAGE",45000,"Not Verified","Sep-2014","Fully Paid","credit_card","Credit card refinancing","Apr-2001",11,37,"INDIVIDUAL",2,"2606 Kenneth Grove Apt. 292
South Jenniferhaven, WV 70466"
"110",6600," 36 months",19.53,243.71,"Legal Secretary","10+ years","MORTGAGE",48000,"Source Verified","Mar-2016","Fully Paid","debt_consolidation","Debt consolidation","Nov-2001",23,39,"INDIVIDUAL",2,"9480 Tyler Brook
Port Emilyborough, NY 30723"
"111",5000," 36 months",10.16,161.72,"Incomm","6 years","RENT",54000,"Not Verified","Nov-2012","Fully Paid","debt_consolidation","creditbuild1","Feb-2003",10,18,"INDIVIDUAL",0,"0658 Reese Run Apt. 912
South Rachel, NY 30723"
"112",5000," 36 months",7.62,155.81,"Systems Administrator","10+ years","OWN",55000,"Not Verified","Nov-2013","Fully Paid","debt_consolidation","Debt consolidation","Jun-1993",8,13,"INDIVIDUAL",2,"Unit 4847 Box 9014
DPO AE 29597"
"113",14000," 36 months",9.75,450.1,"line worker","10+ years","MORTGAGE",47000,"Verified","Apr-2016","Fully Paid","debt_consolidation","Debt consolidation","Mar-2001",10,38,"INDIVIDUAL",0,"664 Alexander Circle Suite 078
Lake Leah, FL 29597"
"114",26575," 36 months",16.55,941.54,"Train Operator","1 year","RENT",70000,"Source Verified","Mar-2015","Fully Paid","debt_consolidation","Debt consolidation","Oct-1999",10,24,"INDIVIDUAL",0,"53673 Amanda Stravenue
New Patrickburgh, OK 30723"
"115",8000," 36 months",12.99,269.52,"Principal","10+ years","MORTGAGE",110000,"Verified","Oct-2013","Fully Paid","debt_consolidation","Consolidation ","Sep-1992",18,31,"INDIVIDUAL",3,"932 Reed Track Suite 467
North Anna, CA 70466"
"116",6500," 36 months",7.9,203.39,"Resident Service Director","< 1 year","MORTGAGE",43000,"Source Verified","Apr-2014","Fully Paid","credit_card","Credit card refinancing","Nov-1992",16,50,"INDIVIDUAL",3,"149 Duffy Road
Davisfurt, OR 48052"
"117",19725," 60 months",13.68,455.71,"Virginia Commonwealth University","2 years","MORTGAGE",73410,"Verified","Sep-2013","Fully Paid","debt_consolidation","consolidation","Dec-2001",8,11,"INDIVIDUAL",1,"5255 John Hill Apt. 143
North Chelsea, NE 70466"
"118",18525," 36 months",15.88,650.19,"UGHS AUTIMIS BILLING INC","1 year","MORTGAGE",42000,"Verified","Jul-2013","Fully Paid","debt_consolidation","FREEDOM 2","Jun-1983",7,10,"INDIVIDUAL",1,"64445 Jessica Mountains Apt. 496
Lake Kimberly, NJ 70466"
"119",5400," 36 months",17.1,192.8,"Solutions Architect","5 years","MORTGAGE",153000,"Not Verified","Dec-2013","Fully Paid","debt_consolidation","Home Improvement","Jun-2003",21,29,"INDIVIDUAL",2,"5785 Hernandez Divide
Lake Wandashire, NE 22690"
"120",33600," 60 months",16.29,822.28,"Analyst","3 years","MORTGAGE",145000,"Verified","Jul-2014","Fully Paid","debt_consolidation","Debt consolidation","Oct-2001",14,62,"INDIVIDUAL",4,"1274 Parker Squares
Kevinbury, AR 29597"
"121",28000," 60 months",17.86,708.89,"Director special projects","4 years","MORTGAGE",120000,"Source Verified","Feb-2015","Fully Paid","debt_consolidation","Debt consolidation","Jul-1999",9,25,"INDIVIDUAL",4,"17089 Compton Track Apt. 734
Port Michelechester, VA 30723"
"122",35000," 36 months",14.65,1207.3,"Teacher","10+ years","MORTGAGE",95000,"Source Verified","Oct-2015","Fully Paid","credit_card","Credit card refinancing","Sep-1997",10,25,"INDIVIDUAL",3,"50540 Joshua Islands Suite 375
Randallville, MI 00813"
"123",8400," 36 months",6.92,259.07,"Sales Rep.","3 years","RENT",105000,"Source Verified","Feb-2015","Fully Paid","credit_card","Credit card refinancing","Sep-2003",5,12,"INDIVIDUAL",1,"36037 Steven River
West Nicolebury, MN 22690"
"124",30000," 60 months",23.83,860.09,"Victorian Senior Care","10+ years","MORTGAGE",72500,"Verified","Nov-2012","Charged Off","debt_consolidation","Debt Consolodation","Nov-1993",7,32,"INDIVIDUAL",4,"8219 Dennis Station Apt. 722
Bateston, LA 70466"
"125",28000," 60 months",13.67,646.74,"Vice President","1 year","MORTGAGE",104000,"Verified","Dec-2015","Charged Off","credit_card","Credit card refinancing","Feb-1993",14,19,"INDIVIDUAL",2,"8367 Santos Lodge
Robinsonmouth, VA 70466"
"126",12525," 36 months",24.99,497.93,"Driver","2 years","RENT",70000,"Verified","Jul-2015","Fully Paid","house","Home buying","Apr-2007",5,5,"INDIVIDUAL",0,"065 Martinez Flats
Port Samuel, AL 29597"
"127",9000," 36 months",10.75,293.59,"Sushi chef","10+ years","RENT",25000,"Source Verified","Jun-2016","Fully Paid","debt_consolidation","Debt consolidation","Nov-1999",5,16,"INDIVIDUAL",0,"53385 Williams Corner
North Alejandraport, SD 00813"
"128",19600," 36 months",11.14,642.98,"Wal-Mart","6 years","RENT",44000,"Verified","Dec-2012","Fully Paid","debt_consolidation","Debt consolidation","Nov-2005",8,21,"INDIVIDUAL",2,"460 Justin Squares
Buchananmouth, MA 70466"
"129",17625," 36 months",18.49,641.53,"Vero Beach Surgery Center","10+ years","MORTGAGE",85000,"Not Verified","May-2013","Charged Off","debt_consolidation","Credit Consal.","Dec-1992",17,33,"INDIVIDUAL",7,"84036 Myers Shore
West Thomashaven, OR 30723"
"130",15000," 36 months",11.99,498.15,"Recruiter","7 years","MORTGAGE",72000,"Source Verified","Nov-2013","Fully Paid","debt_consolidation","Debt Consolidation","May-2003",16,28,"INDIVIDUAL",1,"088 Erica Mall Apt. 059
North Paulchester, NH 29597"
"131",11875," 36 months",20.31,443.2,"USPS","10+ years","OWN",56000,"Verified","Jul-2013","Fully Paid","debt_consolidation","Lets go on vacation & do the kitchen","Mar-1986",16,35,"INDIVIDUAL",0,"816 Brown Turnpike
Port Kimberlyshire, KS 30723"
"132",30000," 60 months",17.86,759.52,"IT Specialist","10+ years","MORTGAGE",74000,"Verified","Apr-2015","Charged Off","credit_card","Credit card refinancing","Dec-1988",13,18,"INDIVIDUAL",1,"459 Mia Inlet
North Davidhaven, TN 86630"
"133",10000," 36 months",17.57,359.38,"Branch Manager","< 1 year","RENT",80000,"Verified","Apr-2015","Fully Paid","debt_consolidation","Debt consolidation","May-1989",13,46,"INDIVIDUAL",1,"8766 Cox Keys
Samuelfurt, OH 29597"
"134",13075," 60 months",27.31,401.68,"Clerk-specialist level","10+ years","MORTGAGE",54777,"Source Verified","Sep-2015","Fully Paid","debt_consolidation","Debt consolidation","Dec-2000",4,27,"INDIVIDUAL",2,"1532 Gill Greens Apt. 236
South Cassandrafurt, MN 48052"
"135",35000," 60 months",19.99,927.1,"Transportation manager","10+ years","MORTGAGE",88500,"Verified","Mar-2014","Fully Paid","home_improvement","Home improvement","Mar-1991",5,22,"INDIVIDUAL",2,"619 Daniels Junction Suite 249
Lake Frank, ME 29597"
"136",6500," 36 months",9.75,208.98,"invoice","10+ years","RENT",40000,"Verified","Mar-2016","Fully Paid","debt_consolidation","Debt consolidation","Mar-2005",10,28,"INDIVIDUAL",0,"631 Jill Rapids Suite 264
Russellfort, FL 70466"
"137",12000," 36 months",6.49,367.74,"LPN","2 years","RENT",55000,"Source Verified","Oct-2014","Fully Paid","debt_consolidation","Debt consolidation","Jun-2010",11,24,"INDIVIDUAL",0,"536 Jack Forges Apt. 092
Petersonfurt, NE 30723"
"138",21000," 60 months",22.99,591.88,"buyer","2 years","RENT",45000,"Source Verified","Jan-2015","Fully Paid","debt_consolidation","Home improvement","Jun-2001",10,42,"INDIVIDUAL",2,"7914 Jason Inlet
West Stephenstad, SD 00813"
"139",25000," 60 months",12.59,563.6,"manager","4 years","MORTGAGE",85000,"Not Verified","Nov-2015","Fully Paid","home_improvement","Home improvement","Dec-1998",8,21,"INDIVIDUAL",6,"2705 Jennifer Trail Suite 049
Barryshire, VT 22690"
"140",20000," 36 months",10.37,648.83,"HP","< 1 year","MORTGAGE",170000,"Verified","Jan-2011","Fully Paid","debt_consolidation","Debt Consolidation for Family","Jun-1990",8,19,"INDIVIDUAL",NA,"USCGC Miller
FPO AE 22690"
"141",5000," 36 months",9.17,159.4,"Administrative Specialist","10+ years","RENT",85000,"Not Verified","Jul-2014","Fully Paid","credit_card","Credit card refinancing","Jan-1990",9,21,"INDIVIDUAL",4,"USNV Martinez
FPO AP 29597"
"142",12000," 36 months",14.33,412.06,"miles electric co","10+ years","RENT",45000,"Source Verified","Jun-2013","Fully Paid","credit_card","2bettermylife","Jan-2001",7,17,"INDIVIDUAL",0,"95976 Anthony Mall Suite 810
North Jessica, VT 00813"
"143",10000," 36 months",13.53,339.5,"Program Manager","6 years","MORTGAGE",150000,"Not Verified","Jan-2014","Fully Paid","major_purchase","Major purchase","Sep-2001",6,28,"INDIVIDUAL",0,"6132 Lopez Courts
South Rebecca, NJ 70466"
"144",15000," 36 months",7.9,469.36,"Imclone","4 years","MORTGAGE",82000,"Not Verified","Mar-2012","Fully Paid","debt_consolidation","Debt consolidation","Nov-2000",14,33,"INDIVIDUAL",NA,"83769 Green Road
Port Patriciastad, NV 00813"
"145",20000," 60 months",22.45,557.51,"Dell Inc.","10+ years","MORTGAGE",90000,"Verified","May-2012","Charged Off","debt_consolidation","DebtConsolidation","Jan-1994",6,15,"INDIVIDUAL",4,"096 Edwin Drives
Paulstad, VA 86630"
"146",16800," 60 months",24.99,493.01,"Math Teacher","2 years","OWN",51000,"Not Verified","Mar-2016","Charged Off","credit_card","Credit card refinancing","Aug-2002",8,11,"INDIVIDUAL",0,"42822 Frank Forges
New Dominiquetown, TX 11650"
"147",5500," 36 months",13.11,185.61,"Smith & Wollensky","3 years","RENT",38000,"Not Verified","Oct-2012","Fully Paid","credit_card","Credit card pay off","Nov-2003",5,8,"INDIVIDUAL",0,"316 Sharon Orchard
West Kyle, MS 29597"
"148",13625," 36 months",14.64,469.92,"medical clinic coordinator","2 years","RENT",36000,"Source Verified","Apr-2014","Fully Paid","credit_card","Credit card refinancing","Jul-2003",6,6,"INDIVIDUAL",0,"3712 Amanda Light
New Christopher, NC 00813"
"149",8325," 36 months",16.99,296.77,"FSQA Supervisor II","5 years","RENT",54290,"Source Verified","Oct-2014","Fully Paid","debt_consolidation","Debt consolidation","Jan-2011",11,18,"INDIVIDUAL",0,"355 Mark Point Suite 713
Schaeferhaven, UT 22690"
"150",6375," 36 months",24.5,251.79,"Installer","1 year","OWN",20000,"Verified","May-2014","Charged Off","other","Other","Aug-2008",6,7,"INDIVIDUAL",0,"2912 Lopez Freeway Apt. 421
Alisonhaven, IN 22690"
"151",10000," 36 months",17.99,361.48,"Quick Cash Advance LLC.","2 years","MORTGAGE",21000,"Not Verified","May-2012","Fully Paid","house","Home Improvement","Sep-2006",3,5,"INDIVIDUAL",0,"629 Andrew View Apt. 306
East Ann, TN 30723"
"152",13225," 36 months",12.35,441.48,"Lifepoint Hospitals","2 years","MORTGAGE",65300,"Verified","Aug-2013","Fully Paid","major_purchase","temp","Jun-1994",13,25,"INDIVIDUAL",2,"8768 Megan Shoals Suite 325
West Kayla, DC 29597"
"153",12000," 36 months",10.16,388.11,"precision strip, inc","7 years","MORTGAGE",63000,"Not Verified","Sep-2012","Fully Paid","credit_card","consolidate","Jun-2005",11,25,"INDIVIDUAL",2,"USNV Shepherd
FPO AE 05113"
"154",35000," 36 months",9.16,1115.6,"Manager Maintenance, Compliance","10+ years","MORTGAGE",110000,"Verified","May-2016","Fully Paid","debt_consolidation","Debt consolidation","Nov-1997",13,26,"INDIVIDUAL",2,"3909 Bentley Mall
East Tammyside, AL 00813"
"155",12000," 36 months",6.03,365.23,"Palm Beach County Sheriff's Office","10+ years","MORTGAGE",98794.08,"Not Verified","Mar-2012","Fully Paid","debt_consolidation","Ducks in a Row","May-1996",15,38,"INDIVIDUAL",NA,"USS Moses
FPO AP 30723"
"156",5000," 36 months",9.16,159.38,"","","MORTGAGE",20000,"Verified","Feb-2016","Fully Paid","debt_consolidation","Debt consolidation","Apr-2010",12,14,"INDIVIDUAL",0,"76832 Benjamin Meadows
Lake Robertview, UT 05113"
"157",11350," 36 months",16.55,402.13,"Assistant Store Director","10+ years","RENT",56300,"Source Verified","Jun-2015","Fully Paid","debt_consolidation","Debt consolidation","Dec-2001",6,22,"INDIVIDUAL",3,"4964 Jeffery Grove
Webbfort, ID 48052"
"158",9000," 36 months",13.67,306.16,"Case Manager","4 years","MORTGAGE",92000,"Source Verified","Oct-2013","Charged Off","home_improvement","Home project","Sep-2006",13,42,"INDIVIDUAL",1,"Unit 1229 Box 9010
DPO AE 86630"
"159",25000," 60 months",14.99,594.62,"Social worker","10+ years","RENT",65187.37,"Verified","Jun-2014","Fully Paid","credit_card","Credit card refinancing","May-1993",7,16,"INDIVIDUAL",0,"959 Baker Fields Suite 016
Evansshire, NE 29597"
"160",21000," 36 months",14.65,724.38,"FINGER LAKES DDSO","10+ years","MORTGAGE",60000,"Verified","Jun-2012","Fully Paid","home_improvement","TIME FOR CHANGE","May-1989",20,33,"INDIVIDUAL",0,"PSC 1487, Box 3386
APO AP 29597"
"161",13000," 36 months",12.49,434.84,"Field Nurse","5 years","RENT",52000,"Source Verified","Apr-2014","Fully Paid","debt_consolidation","Debt consolidation","Sep-2005",9,18,"INDIVIDUAL",0,"929 Mora Locks
West Isaac, WV 48052"
"162",9600," 36 months",15.61,335.67,"social service supervisor","10+ years","MORTGAGE",70000,"Verified","Oct-2014","Charged Off","credit_card","Credit card refinancing","Apr-2000",18,50,"INDIVIDUAL",4,"73385 Angela Fords Suite 938
Port Brittneyhaven, GA 86630"
"163",2800," 36 months",10.16,90.56,"biomat","3 years","RENT",29000,"Not Verified","Aug-2012","Fully Paid","credit_card","Credit card refinancing","May-2001",8,27,"INDIVIDUAL",0,"461 Ann Isle
Sarastad, OK 48052"
"164",2200," 36 months",16.29,77.67,"Quality Control Specialist","10+ years","MORTGAGE",65500,"Not Verified","Jul-2014","Fully Paid","credit_card","Credit card refinancing","Jun-1992",5,9,"INDIVIDUAL",2,"91467 Schmidt Lodge
Tracytown, KY 30723"
"165",19200," 36 months",15.31,668.5,"Project manager ","3 years","MORTGAGE",88000,"Source Verified","May-2016","Fully Paid","debt_consolidation","Debt consolidation","Jan-2006",9,20,"INDIVIDUAL",1,"220 Madeline Springs
West Oscartown, MI 05113"
"166",9000," 36 months",11.55,297,"Dell Inc","6 years","MORTGAGE",110000,"Not Verified","Aug-2013","Fully Paid","debt_consolidation","Bill Consolidation and flooring","Sep-2001",19,49,"INDIVIDUAL",2,"9670 Smith Island Suite 387
Lake Stephaniefurt, WI 29597"
"167",8000," 36 months",6.62,245.63,"Machinist","6 years","MORTGAGE",80000,"Verified","Apr-2014","Fully Paid","credit_card","Credit card refinancing","Apr-1986",12,23,"INDIVIDUAL",2,"225 Megan Lodge
Douglashaven, HI 22690"
"168",5000," 36 months",17.76,180.17,"Office Assistant Sr","10+ years","RENT",42000,"Source Verified","Nov-2013","Fully Paid","other","Other","Aug-1996",14,25,"INDIVIDUAL",1,"785 James Road Apt. 837
Charlesbury, DE 22690"
"169",11800," 60 months",28.99,374.49,"","","RENT",44011,"Verified","Jan-2016","Fully Paid","debt_consolidation","Debt consolidation","Jun-2004",9,13,"INDIVIDUAL",0,"3019 Smith Manors Suite 402
Lake Anthonyburgh, GA 22690"
"170",7000," 36 months",6.24,213.72,"IT Process Manager","10+ years","MORTGAGE",96720,"Not Verified","Jul-2015","Fully Paid","home_improvement","Home improvement","Aug-1997",12,37,"INDIVIDUAL",4,"3946 Stephen Ferry
Burnsmouth, NJ 30723"
"171",35000," 60 months",23.1,988.68,"CHIEF ACCOUNTANT","8 years","MORTGAGE",125388,"Verified","Oct-2013","Fully Paid","debt_consolidation","DEBT CONSOLIDATION","May-1984",26,59,"INDIVIDUAL",6,"78517 Gary Neck Suite 758
Jamesborough, MA 48052"
"172",10800," 36 months",17.57,388.13,"CPHT","10+ years","RENT",45000,"Source Verified","May-2015","Charged Off","debt_consolidation","Debt consolidation","Jul-2005",12,30,"INDIVIDUAL",0,"Unit 4273 Box 1314
DPO AP 30723"
"173",11950," 36 months",13.99,408.37,"Customer Service Agent","10+ years","RENT",40000,"Source Verified","Mar-2015","Charged Off","debt_consolidation","Debt consolidation","Aug-2003",14,31,"INDIVIDUAL",5,"011 Barrett Haven Apt. 426
Lake Dwaynetown, MD 11650"
"174",16000," 36 months",15.61,559.44,"Assistant General Manager","10+ years","RENT",72000,"Source Verified","May-2015","Charged Off","major_purchase","Major purchase","May-2011",5,5,"INDIVIDUAL",0,"55885 Page Station Suite 564
Prattland, CT 48052"
"175",18000," 36 months",11.14,590.5,"Advent International","6 years","RENT",85000,"Not Verified","Apr-2013","Charged Off","debt_consolidation","Credit card relief","Oct-2002",12,33,"INDIVIDUAL",0,"9031 Cindy Corner Apt. 370
South Nicholashaven, IN 70466"
"176",6000," 36 months",10.49,194.99,"Teacher ","6 years","RENT",50000,"Not Verified","Oct-2016","Fully Paid","debt_consolidation","Debt consolidation","Mar-2005",10,23,"INDIVIDUAL",0,"USCGC Sandoval
FPO AP 00813"
"177",33425," 36 months",17.57,1201.2,"Assistant Professor","5 years","RENT",76000,"Verified","Jun-2015","Fully Paid","credit_card","Credit card refinancing","Sep-2002",11,13,"INDIVIDUAL",0,"0433 Michael Track
East Jennifer, MS 05113"
"178",25600," 36 months",7.69,798.56,"Electrical Engineer","10+ years","MORTGAGE",105000,"Source Verified","Oct-2014","Fully Paid","debt_consolidation","Debt consolidation","Jan-1989",15,35,"INDIVIDUAL",10,"71558 Shaw Mountain Suite 811
West Robertmouth, MO 70466"
"179",3550," 36 months",24.99,141.13,"professor","8 years","MORTGAGE",120000,"Source Verified","Mar-2014","Charged Off","debt_consolidation","Debt consolidation","Apr-2007",6,8,"INDIVIDUAL",1,"3776 Henry Turnpike
New Amberton, CO 70466"
"180",20000," 60 months",20.49,535.35,"Recruiter","3 years","MORTGAGE",68000,"Verified","Apr-2015","Fully Paid","debt_consolidation","Debt consolidation","Aug-1999",11,42,"INDIVIDUAL",3,"95038 Chen Mill
Smithland, SD 30723"
"181",18000," 60 months",7.89,364.03,"Manager","9 years","OWN",85000,"Not Verified","Aug-2015","Fully Paid","credit_card","Credit card refinancing","May-1996",8,24,"INDIVIDUAL",2,"30189 Nelson Burg Suite 951
Alyssafurt, DC 00813"
"182",12800," 60 months",22.7,358.64,"city of new haven p/w","10+ years","RENT",65000,"Source Verified","Aug-2013","Charged Off","other","Other","Oct-1999",9,13,"INDIVIDUAL",0,"551 Samantha Junction Apt. 651
Juliastad, AK 93700"
"183",16000," 60 months",13.33,366.76,"Executive Administrator","1 year","RENT",1e+05,"Verified","Mar-2015","Fully Paid","debt_consolidation","Debt consolidation","Oct-2000",14,27,"INDIVIDUAL",0,"74650 Arellano Gateway
East Robert, WY 70466"
"184",5600," 36 months",17.56,201.22,"Curtain Wall Design Consulting","1 year","RENT",103000,"Not Verified","Sep-2013","Fully Paid","wedding","Wedding Loan","Feb-1992",9,14,"INDIVIDUAL",0,"045 Buchanan Falls Apt. 849
Schultzborough, ND 29597"
"185",15000," 36 months",11.99,498.15,"Psychotherapist","7 years","RENT",62000,"Verified","Jan-2015","Fully Paid","debt_consolidation","Debt consolidation","Sep-1999",23,45,"INDIVIDUAL",0,"2028 Perez Inlet
Lake Katherine, RI 05113"
"186",16000," 60 months",16.99,397.56,"Courtroom Clerk","2 years","MORTGAGE",78200,"Not Verified","Jul-2016","Fully Paid","debt_consolidation","Debt consolidation","Jul-2001",12,21,"INDIVIDUAL",6,"5538 Fowler Forges
South Marcus, HI 29597"
"187",9000," 36 months",6.03,273.92,"Federal Law Enforcement","10+ years","MORTGAGE",145000,"Not Verified","Jul-2014","Fully Paid","credit_card","Credit card refinancing","Oct-2001",19,39,"INDIVIDUAL",3,"291 John Knoll
Harrisonview, NV 00813"
"188",15500," 36 months",10.15,501.24,"","","OWN",107000,"Verified","Nov-2014","Fully Paid","credit_card","Credit card refinancing","May-1980",5,20,"INDIVIDUAL",1,"Unit 7905 Box 7021
DPO AP 30723"
"189",6000," 36 months",10.99,196.41,"Supervisor","3 years","RENT",63000,"Not Verified","Aug-2015","Fully Paid","debt_consolidation","Debt consolidation","Aug-2001",9,22,"INDIVIDUAL",2,"5130 Michele Drive
Emmaberg, IN 22690"
"190",9000," 36 months",6.89,277.45,"Mechanic","4 years","RENT",65000,"Source Verified","Jun-2015","Fully Paid","debt_consolidation","Debt consolidation","Oct-2008",18,31,"INDIVIDUAL",0,"12547 Patricia Dale
South Jason, MD 22690"
"191",24000," 36 months",14.65,827.87,"Lab Director","4 years","RENT",1e+05,"Verified","Apr-2015","Fully Paid","debt_consolidation","Debt consolidation","Nov-2007",5,10,"INDIVIDUAL",0,"59579 Hodges Forge
South Shawn, MI 29597"
"192",35000," 60 months",17.57,880.61,"teacher","10+ years","MORTGAGE",150000,"Source Verified","Sep-2015","Charged Off","debt_consolidation","Debt consolidation","Jan-1998",42,52,"INDIVIDUAL",1,"USCGC Santana
FPO AA 11650"
"193",30000," 60 months",19.52,786.83,"cbp officer","7 years","MORTGAGE",101000,"Verified","Feb-2015","Fully Paid","debt_consolidation","Debt consolidation","Apr-1997",13,30,"INDIVIDUAL",6,"8420 John Fork Apt. 046
West Pamelaside, UT 30723"
"194",3000," 36 months",8.9,95.26,"Practical Nurse","2 years","RENT",50000,"Not Verified","Apr-2014","Fully Paid","credit_card","Credit card refinancing","Mar-1999",12,27,"INDIVIDUAL",1,"27065 Wilson Trail Apt. 723
New Mariobury, DE 00813"
"195",15000," 36 months",20.31,559.83,"Texeltek","3 years","MORTGAGE",1e+05,"Not Verified","Jul-2013","Fully Paid","credit_card","Big loan","Sep-1999",20,40,"INDIVIDUAL",2,"0416 Joanne Knolls Apt. 315
Lake Samuelberg, NH 30723"
"196",24000," 60 months",24.5,697.42,"Lieutenant","10+ years","MORTGAGE",224000,"Verified","Jan-2014","Charged Off","debt_consolidation","Debt consolidation","Aug-2001",15,32,"INDIVIDUAL",6,"PSC 8266, Box 8855
APO AP 11650"
"197",6000," 36 months",14.3,205.95,"lead tech","5 years","OWN",40000,"Source Verified","Oct-2013","Fully Paid","other","Other","Nov-2005",6,17,"INDIVIDUAL",1,"018 Hunt Isle Suite 279
Lake Vincentshire, LA 30723"
"198",28000," 60 months",21.98,773.02,"US Army","10+ years","RENT",73000,"Verified","Nov-2012","Charged Off","debt_consolidation","payoff","Jun-1996",9,15,"INDIVIDUAL",0,"207 Gray Track Apt. 851
Patelside, TN 93700"
"199",10000," 36 months",7.89,312.86,"Director","10+ years","RENT",145000,"Source Verified","Feb-2015","Fully Paid","debt_consolidation","Debt consolidation","Apr-1998",10,27,"INDIVIDUAL",3,"788 Christine Green
Lake John, WY 30723"
"200",9450," 36 months",7.62,294.48,"O2 Media, Inc.","5 years","MORTGAGE",45000,"Verified","Sep-2012","Fully Paid","small_business","Business","Aug-1999",5,6,"INDIVIDUAL",2,"256 Ebony Walks Apt. 216
Powellbury, WV 00813"
"201",12000," 36 months",6.03,365.23,"Follet","6 years","RENT",45000,"Not Verified","Feb-2013","Fully Paid","debt_consolidation","Debt con","Jun-1986",8,16,"INDIVIDUAL",0,"8318 Amanda Path
Kristinmouth, UT 00813"
"202",13000," 60 months",19.52,340.96,"Lending Manager 2","4 years","MORTGAGE",80000,"Source Verified","May-2014","Charged Off","debt_consolidation","Debt consolidation","Sep-1998",7,14,"INDIVIDUAL",1,"775 Derek Falls
New Julieside, NM 70466"
"203",20000," 36 months",16.29,706.01,"URS ","< 1 year","MORTGAGE",150000,"Verified","Nov-2012","Fully Paid","debt_consolidation","Debt Consolidation","Jun-1982",20,44,"INDIVIDUAL",6,"89249 Paul Trail
Masontown, AZ 00813"
"204",6500," 36 months",9.67,208.74,"Lead Painter","5 years","MORTGAGE",41000,"Source Verified","Apr-2014","Charged Off","credit_card","Credit card refinancing","Oct-1981",8,20,"INDIVIDUAL",3,"2342 William Trail
New Jason, VA 70466"
"205",34350," 60 months",28.99,1090.13,"Quality improvement data analyst","3 years","RENT",84000,"Verified","Mar-2016","Fully Paid","debt_consolidation","Debt consolidation","Sep-2003",11,23,"INDIVIDUAL",0,"5050 Gomez Mill Suite 557
East Adamton, SD 22690"
"206",3500," 36 months",8.18,109.97,"Project manager","1 year","MORTGAGE",85000,"Verified","Apr-2015","Fully Paid","home_improvement","Home improvement","Jun-2005",12,28,"INDIVIDUAL",2,"847 Ashley Forest
Hallberg, KY 70466"
"207",3500," 36 months",14.65,120.73,"Owner ","10+ years","MORTGAGE",28000,"Source Verified","Mar-2015","Charged Off","car","Car financing","Feb-1994",4,6,"INDIVIDUAL",1,"26728 Chambers Mount Suite 568
West Keithborough, OH 93700"
"208",5400," 36 months",11.99,179.34,"Clinical account specialist","9 years","RENT",65000,"Source Verified","Feb-2015","Fully Paid","debt_consolidation","Debt consolidation","Nov-1997",14,39,"INDIVIDUAL",2,"152 Lopez Divide
West Elizabethmouth, NC 29597"
"209",14000," 36 months",9.67,449.58,"Technical Director","10+ years","RENT",98593.24,"Verified","Jan-2014","Fully Paid","debt_consolidation","Debt consolidation","Dec-1984",6,26,"INDIVIDUAL",0,"Unit 0197 Box 0235
DPO AE 05113"
"210",12250," 36 months",10.99,401,"Administrative Support","1 year","RENT",40000,"Not Verified","Jan-2014","Fully Paid","debt_consolidation","Debt consolidation","Jul-2003",12,21,"INDIVIDUAL",0,"42853 Kathryn Gardens Suite 621
Port Jacobside, DC 70466"
"211",28625," 36 months",11.99,950.63,"Teacher","10+ years","MORTGAGE",60000,"Verified","Jan-2014","Fully Paid","debt_consolidation","Debt consolidation","Nov-1991",11,25,"INDIVIDUAL",6,"2090 Higgins Lane Suite 171
Cannonbury, OK 48052"
"212",13600," 36 months",12.99,458.18,"Sales","9 years","MORTGAGE",64000,"Not Verified","May-2014","Fully Paid","credit_card","Credit card refinancing","May-1994",18,52,"INDIVIDUAL",6,"94898 Jordan Land Suite 599
Wilkinsonview, AZ 29597"
"213",14675," 36 months",15.61,513.11,"Executive Director, IT and Datacenter","8 years","RENT",130000,"Verified","Oct-2013","Fully Paid","debt_consolidation","Debt Destruction","Oct-2001",6,11,"INDIVIDUAL",0,"6993 Lowe Junctions
Amandaland, TX 22690"
"214",15000," 36 months",9.49,480.43,"Security Officer","2 years","RENT",52000,"Verified","Jan-2015","Fully Paid","credit_card","Credit card refinancing","Nov-2006",19,27,"INDIVIDUAL",0,"214 Cohen River
New Michelle, OH 22690"
"215",13300," 36 months",10.49,432.22,"Metrics Consultant","10+ years","MORTGAGE",58000,"Source Verified","Dec-2014","Charged Off","debt_consolidation","Debt consolidation","Aug-2000",8,18,"INDIVIDUAL",3,"22810 John Glen Suite 320
New Shane, CO 70466"
"216",23050," 60 months",16.29,564.09,"traction power inspector","3 years","RENT",97000,"Verified","Oct-2014","Fully Paid","debt_consolidation","Debt consolidation","Oct-2004",5,16,"INDIVIDUAL",0,"74470 Kimberly Terrace Suite 534
Jamieton, NV 30723"
"217",11325," 60 months",25.99,339.01,"Provisioning Analyst","9 years","MORTGAGE",38000,"Source Verified","Jan-2015","Charged Off","debt_consolidation","Debt consolidation","Sep-2004",18,32,"INDIVIDUAL",0,"9915 Rachel Highway
Carlosville, VT 11650"
"218",20000," 36 months",19.52,738.39,"Friedrich Petzel Gallery","< 1 year","RENT",60000,"Verified","Sep-2013","Fully Paid","debt_consolidation","Debt consolidation","Jun-2003",10,25,"INDIVIDUAL",0,"06141 Dennis Brooks
Port Calvin, NV 05113"
